Day,Cash On Hand
0,3500000
1,3487400
2,3393650
3,3279782
4,3107547
5,118307
6,46784
7,1558994
8,86765
9,501900
10,475435
11,758444
12,395692
13,475703
14,2314855
15,267881
16,289592
17,303817
18,327033
19,319353
20,317485
21,150614
22,175476
23,198967
24,209653
25,266473
26,241502
27,36671
28,33260
29,19654
30,1067804
31,96069
32,61314
33,1237335
34,46638
35,978062
36,12179
37,904633
38,163150
39,526082
40,404309
41,54782
42,136894
43,399196
44,387097
45,292281
46,145493
47,167291
48,153914
49,111858
50,820597
51,1553554
52,1536632
53,354572
54,333959
55,516818
56,538245
57,1908595
58,1959622
59,1885585
60,1880522
61,1872694
62,1584997
63,1638515
64,1837032
65,2462750
66,2428946
67,2489835
68,3137396
69,2810452
70,2882937
71,2425790
72,3720174
73,3399217
74,4032404
75,4080741
76,3968014
77,4279657
78,2094630
79,1857647
80,554190
81,4367744
82,1963628
83,250452
84,565794
85,114646
86,451417
87,882983
88,190100
89,662751
90,223873
